rank,name,About,City,State,Graduation Rate,College Readiness,Enrollment 9-12,Math Proficiency,Student-Teacher Ratio,Reading Proficiency,STEM Index
1645,Centaurus High School,"Centaurus High School is ranked 50th within Colorado. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Centaurus High School is 47%. The total minority enrollment is 37%, and 32% of students are economically disadvantaged. Centaurus High School is 1 of 12 high schools in the Boulder Valley School District No. Re2.",Lafayette,CO,92.41192,41.417,1525,55.0,19.0,78.0,68.50696582
1646,KIPP Generations Collegiate,"KIPP Generations Collegiate is ranked 176th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at KIPP Generations Collegiate is 96%. The total minority enrollment is 99%, and 90% of students are economically disadvantaged. KIPP Generations Collegiate is 1 of 9 high schools in the KIPP Texas Public Schools.",Houston,TX,96.5,54.464,583,3.0,13.0,56.0,28.66603632
1647,Sanford H Calhoun High School,"Sanford H Calhoun High School is ranked 163rd within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Sanford H Calhoun High School is 71%. The total minority enrollment is 26%, and 15% of students are economically disadvantaged. Sanford H Calhoun High School is 1 of 3 high schools in the Bellmore-Merrick Central High School District.",Merrick,NY,97.0,56.271,1162,82.0,10.0,92.0,46.43340993
1648,Community Charter School of Cambridge,Community Charter School of Cambridge is ranked 63rd within Massachusetts. Students have the opportunity to take Advanced Placement&#174,Cambridge,MA,100.0,38.021,153,68.0,8.0,71.0,
1649,Shawnee High School,"Shawnee High School is ranked 58th within Ohio. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Shawnee High School is 42%. The total minority enrollment is 17%, and 19% of students are economically disadvantaged. Shawnee High School is the only high school in the Shawnee Local.",Lima,OH,92.1,40.0,707,67.0,18.0,84.0,71.49684874
1650,Blue Valley Southwest High School,"Blue Valley Southwest High School is ranked eighth within Kansas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Blue Valley Southwest High School is 51%. The total minority enrollment is 20%, and 7% of students are economically disadvantaged. Blue Valley Southwest High School is 1 of 5 high schools in the Blue Valley.",Overland Park,KS,98.1,40.253,1014,36.0,14.0,38.0,55.07866795
1651,Mansfield Lake Ridge High School,"Mansfield Lake Ridge High School is ranked 177th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Mansfield Lake Ridge High School is 64%. The total minority enrollment is 79%, and 28% of students are economically disadvantaged. Mansfield Lake Ridge High School is 1 of 7 high schools in the Mansfield Independent School District.",Mansfield,TX,98.0,38.063,2653,75.0,18.0,73.0,35.00185195
1652,President Theodore Roosevelt High School,"President Theodore Roosevelt High School is ranked fourth within Hawaii. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at President Theodore Roosevelt High School is 49%. The total minority enrollment is 96%, and 39% of students are economically disadvantaged. President Theodore Roosevelt High School is 1 of 66 high schools in the Hawaii Department of Education.",Honolulu,HI,86.0,40.951,1413,36.0,17.0,72.0,57.54811972
1653,Glynn Academy,"Glynn Academy is ranked 46th within Georgia. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Glynn Academy is 38%. The total minority enrollment is 41%, and 41% of students are economically disadvantaged. Glynn Academy is 1 of 3 high schools in the Glynn County Public Schools.",Brunswick,GA,95.77,28.846,1823,50.0,17.0,61.0,65.27252568
1654,Brea-Olinda High School,"Brea-Olinda High School is ranked 233rd within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Brea-Olinda High School is 52%. The total minority enrollment is 71%, and 22% of students are economically disadvantaged. Brea-Olinda High School is 1 of 2 high schools in the Brea-Olinda Unified School District.",Brea,CA,93.7,45.034,1681,47.0,21.0,69.0,72.10777746
1655,Viera High School,"Viera High School is ranked 113rd within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Viera High School is 56%. The total minority enrollment is 31%, and 15% of students are economically disadvantaged. Viera High School is 1 of 28 high schools in the Brevard Public Schools.",Viera,FL,96.82243,45.329,2272,64.0,22.0,68.0,48.34598442
1656,Bentonville West High School,"Bentonville West High School is ranked 13th within Arkansas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Bentonville West High School is 64%. The total minority enrollment is 32%, and 22% of students are economically disadvantaged. Bentonville West High School is 1 of 2 high schools in the Bentonville School District.",Centerton,AR,91.9,44.353,2414,37.0,13.0,70.0,40.02382943
1657,Van Nuys Senior High School,Van Nuys Senior High School is ranked 234th within California. Students have the opportunity to take Advanced Placement&#174,Van Nuys,CA,91.7,44.363,2323,32.0,21.0,55.0,61.3178657
1658,Franklin Regional Senior High School,"Franklin Regional Senior High School is ranked 60th within Pennsylvania. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Franklin Regional Senior High School is 55%. The total minority enrollment is 15%, and 18% of students are economically disadvantaged. Franklin Regional Senior High School is the only high school in the Franklin Regional School District.",Murrysville,PA,97.36842,40.108,1119,88.0,11.0,84.0,58.93721714
1659,Uplift Infinity High School,"Uplift Infinity High School is ranked 178th within Texas. Students have the opportunity to take International Baccalaureate coursework and exams. The IB participation rate at Uplift Infinity High School is 92%. The total minority enrollment is 94%, and 76% of students are economically disadvantaged. Uplift Infinity High School is 1 of 10 high schools in the Uplift Education School District.",Irving,TX,98.6,62.348,366,31.0,15.0,55.0,
1660,Golden High School,"Golden High School is ranked 51st within Colorado. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Golden High School is 56%. The total minority enrollment is 20%, and 22% of students are economically disadvantaged. Golden High School is 1 of 36 high schools in the Jefferson County School District No. R-1.",Golden,CO,93.09211,43.793,1416,57.0,21.0,80.0,45.69844266
1661,Rockland Public School,"Rockland Public School is ranked eighth within Idaho. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Rockland Public School is 80%. The total minority enrollment is 1%, and 26% of students are economically disadvantaged. Rockland Public School is the only high school in the Rockland District.",Rockland,ID,100.0,35.0,63,,10.0,62.0,
1662,Ipswich High School,Ipswich High School is ranked 64th within Massachusetts. Students have the opportunity to take Advanced Placement&#174,Ipswich,MA,92.8,48.346,496,70.0,10.0,76.0,74.08916269
1663,Energized for STEM Academy Central High School,"Energized for STEM Academy Central High School is ranked 179th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Energized for STEM Academy Central High School is 97%. The total minority enrollment is 98%, and 99% of students are economically disadvantaged. Energized for STEM Academy Central High School is 1 of 49 high schools in the Houston Independent School District.",Houston,TX,90.6,45.763,583,60.0,24.0,52.0,14.80263158
1664,Dobyns - Bennett High School,Dobyns - Bennett High School is ranked 19th within Tennessee. Students have the opportunity to take Advanced Placement&#174,Kingsport,TN,92.8,28.137,2514,23.0,16.0,56.0,63.0185555
1665,San Clemente High School,"San Clemente High School is ranked 235th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at San Clemente High School is 49%. The total minority enrollment is 37%, and 36% of students are economically disadvantaged. San Clemente High School is 1 of 9 high schools in the Capistrano Unified School District.",San Clemente,CA,96.4,43.727,2838,51.0,23.0,78.0,67.78677687
1666,Warwick Valley High School,Warwick Valley High School is ranked 164th within New York. Students have the opportunity to take Advanced Placement&#174,Warwick,NY,96.0,40.385,1360,94.0,14.0,96.0,64.94926445
